Index,Headline
32,"
आइएमई जनरल र प्रुडेन्सियल इन्स्योरेन्सले पाए मर्जरमा जान अन्तिम स्वीकृति"
33,"
नेपाल पुनर्बीमा कम्पनीले मुद्दती निक्षेपमा लगानी गर्ने"
34,"
बीमा कम्पनीको चुक्ता पुँजी पुर्याउने समय असार मसान्तसम्म"
35,"
कृषि तथा पशुपन्छी बीमाबाट एक अर्ब ८१ करोड बीमाशुल्क संकलन"
36,"
निर्जीवन बीमा कम्पनीहरुले संकलन गरे ३० अर्ब बीमाशुल्क, फस्टाएन नेशनलको व्यवसाय"
37,"
युनाईटेड इन्स्योरेन्सले तोक्यो बुक क्लोजको मिति"
38,"
बीमा कम्पनीको पुँजी वृद्धि गर्ने समय असार मसान्तसम्म, कतिको पुगेन ?"
39,"
सम्पत्ति बीमा गर्ने घटेपनि संकलित बीमाशुल्कमा ७३१ प्रतिशतको वृद्धि"
40,"
शिखर इन्स्योरेन्स अब्बल बन्दा चार कम्पनी पुगेनन् अर्ब क्लबमा"
41,"
आइएमई जनरल र प्रुडेन्सियल इन्स्योरेन्सलाई एकिकृत कारोबारका लागि प्राधिकरणले दियो स्वीकृति"
42,"
प्रुडेन्सियल इन्स्योरेन्सको विशेष साधारणसभा सम्पन्न"
43,"
स्थानीय तहले आर्थिक सहायता बन्द गरेर सबैको बीमा गर्नुपर्छः अध्यक्ष सिलवाल"
44,"
'प्रिमियम संकलन गर्न मात्रै बीमा चलाउने होइन, सबैले प्रतिफल पाउने गरी काम गर्नुपर्छ'"
45,"
प्रुडेन्सियल इन्स्योरेन्सको साधारणसभा सम्पन्न, प्रस्तावित लाभांश पारित"
46,"
शिखर इन्स्योरेन्सका शेयरधनीको हितग्राही खातामा बोनस शेयर जम्मा"
47,"
चंकी क्षेत्रीले पाए सलिकोको सिइओ बन्न स्वीकृति"
48,"
खाद्यान्न बाली सम्बन्धी नयाँ बीमालेख जारी, बीमितले पनि दुई लाख पाउने"
49,"
आईएमई लाइफ इन्स्योरेन्सको वार्षिक साधारण सभा सम्पन्न"
50,"
आइएमई जनरल र प्रुडेन्सियल इन्स्योरेन्सबीच मर्जरका लागि अन्तिम सम्झौता"
51,"
स्वास्थ्य बीमा बोर्डले गर्यो ८ अर्ब बढी दावी भुक्तानी"
52,"
तीन कम्पनीको शेयरमूल्य समायोजन"
53,"
चौधरी समुहले फेरी गर्यो अर्को लफडा, नोक्सान नै नभएको बियरको समेत भुक्तानी दाबी"
54,"
सलिको नेपालकै दोस्रो ठूलोे निर्जीवन बीमा कम्पनी बन्यो"
55,"
सगरमाथा र लुम्बिनी जनरल इन्स्योरेन्सको शेयर कारोबार १५ दिन रोक्का हुने"
56,"
प्रभु लाइफले व्यतित बीमालेखको नवीकरणमा शत प्रतिशत छुट दिने"
57,"
नेपाल पुनर्बीमा कम्पनीको जीवन बीमा व्यवसायको नाफा यस वर्ष बढ्यो"
58,"
निर्जीवन बीमा कम्पनीको व्यवसाय बढ्यो, माघमै‌ उठाए करिब ३ अर्ब बीमाशुल्क"
59,"
बुधबारदेखि सिद्धार्थ र प्रिमियर इन्स्योरेन्सको एकिकृत कारोबार"
60,"
प्रभु लाईफका एमडिआरटी विजेता सम्मानित"
61,"
बीमा दावीको सिफारिस गर्दा सचेत बन्न सिलवालको आग्रह"
62,"
तीन कम्पनीको शेयरमूल्य समायोजन"
63,"
लुम्बिनी जनरलले पारित गर्यो लाभांश, चुक्तापूँजी १ अर्ब ४० करोडभन्दा बढी पुग्यो"
64,"
प्राधिकरणले गर्यो कृषि बीमाको २४ करोड रकम भुक्तानी, गत आवको १ अर्ब ३६ करोड अझै बाँकी"
65,"
शाखा कार्यालयहरुबाटै बीमा दाबी भुक्तानी दिने व्यवस्था गछौः अध्यक्ष सिलवाल"
66,"
सिटिजन लाइफ इन्स्योरेन्सद्वारा सम्पत्ति शुद्धीकरण सम्बन्धी तालिम सञ्चालन"
67,"
अस्वस्थ प्रतिस्पर्धा नगर्न बीमा कम्पनीहरुलाई निर्देशन"
68,"
विपन्न वर्गको बीमा गर्न महानगरलाई सिलवालको आग्रह"
69,"
बीमा कम्पनीहरुले अभिकर्ता कमिशनमै खर्चिए करिब साढे ६ अर्ब"
70,"
तनहुँको आँबूखैरेनीमा बीमा सम्बन्धी अन्तरक्रिया कार्यक्रम सम्पन्न"
71,"
स्वास्थ्य बीमा वापतको ६ अर्ब ९१ करोड दावी भुक्तानी"
72,"
बीमाको लोभ'मा आफ्नै गाडी ज'लाउ'ने रामु पुगे खोरमा"
73,"
प्रुडेन्सियल इन्स्योरेन्सले कमायो ४ करोडभन्दा बढी नाफा"
74,"
सानिमा जिआईसी इन्स्योरेन्सले कमायो १०२ प्रतिशत बढी नाफा"
75,"
बीमा रकम भुक्तानी नहुँदा ल्याब सेवा प्रभावित"
76,"
सम्पत्ति बीमा गर्ने बढेसँगै एक महिनामा २८.६६ प्रतिशतले बढ्यो बीमाशुल्क"
77,"
बढ्दै बीमाको पहुँच, बैदेशिक रोजगार बीमालेखमा ५२ प्रतिशतले वृद्धि"
78,"
मधेश प्रदेशमा पशुबीमाको दाबी भुक्तानीमा गुनासो"
79,"
फस्टायो कृषि बीमा व्यवसाय, बीमाशुल्क संकलनमा ४१७ प्रतिशतले वृद्धि"
80,"
सम्पत्तिको जोखिमबारे सचेत बन्दै नेपाली, निर्जीवन बीमाशुल्कमा वृद्धि"
81,"
मर्जर प्रस्ताव पारित गर्न लुम्बिनी जनरलले बोलायो फागुन ११ गते साधारण सभा"
82,"
कृषि तथा पशुपन्छीको बीमा दाबी प्रक्रियामा कम्पनीले जानकारी नदिएको गुनासो"
83,"
नुवाकोटको दुप्चेश्वरमा बीमा सम्बन्धी अन्तरक्र्रिया कार्यक्रम सम्पन्न"
84,"
लुम्बिनी जनरल इन्स्याेरेन्सको लाभांश संशोधन"
85,"
आइएमई जनरल इन्स्योेरेन्सको बार्षिक साधारण सभा सम्पन्न"
86,"
शिखर इन्स्यारेन्सले तोक्यो बुक क्लोजको मिति"
87,"
बीमा अभिकर्ताको जिम्मा कम्पनीले लिनुपर्छः अध्यक्ष सिलवाल"
88,"
पशु बीमा कार्यक्रम वर्ष दिनमै अलपत्र"
89,"
मर्जरका लागि अजोड र युनाइटेड इन्स्यारेन्सले पाए प्राधिकरणको सैद्धान्तिक सहमति"
90,"
यतीको दुर्घटनामा मृत्यु भएकाको बीमा दावी भुक्तानीमा सहजीकरण गरिने"
91,"
सगरमाथा इन्स्योरेन्सको लाभांश पारिमार्जन, बोनस शेयर कति ?"
92,"
हिमालयन रिइन्स्योरेन्स ५ करोड ३० लाखभन्दा बढी नोक्सानीमा"
93,"
हिमालयन एभरेष्टले प्रस्ताव गर्याे लाभांश"
94,"
यूनाइटेड इन्स्योरेन्सले पारित गर्यो लाभांश"
95,"
प्रभुसँग यसकारण भाँडियो मर्जर, अजोड र युनाइटेडबीच यसरी मिल्यो कुरा"
96,"
आइएमई जनरल इन्स्योरेन्सको लाभांश सुरक्षित गर्ने अन्तिम दिन मंगलवार"
97,"
१२ निर्जीवन बीमा कम्पनीहरुले गरे लाभांश प्रस्ताव"
98,"
प्रभु इन्स्योरेन्सले प्रस्ताव गर्याे गत वर्षभन्दा कम लाभांश"
99,"
बढे सम्पत्ति बीमा गर्ने, एक महिनामा २०.९६ प्रतिशत बढी बीमाशुल्क सङ्कलन"
100,"
बीमा अभिकर्ता परीक्षा सम्बन्धी निर्देशिका सार्वजनिक"
101,"
प्रुडेन्सियल इन्स्योरेन्सले गर्यो लाभांश प्रस्ताव, नगद र बोनस कति ?"
102,"
कर्णालीमा समेत बढ्यो कृषि बीमाको आकर्षण"
103,"
बजेटको १० प्रतिशत रकम बीमाका लागि छुट्याउनुपर्छः अध्यक्ष सिलवाल"
104,"
आइएमई जनरल इन्स्योरेन्सले माघ ९ गते बोलायो साधारण सभा"
105,"
बीमाशुल्क संकलनमा सबैभन्दा कमजोर नेशनल इन्स्योरेन्स, कसले गर्यो सर्वाधिक ?"
106,"
लुम्बिनी जनरल इन्स्यारेन्सद्धारा लाभांश प्रस्ताव, नगद र बोनस कति ?"
107,"
अजोड इन्स्योरेन्सले बोलायो साधारण सभा, लाभांश प्रस्ताव ?"
108,"
सगरमाथा इन्स्योरेन्सले यस वर्ष बोनस र नगद दुबै दिने"
109,"
व्यापारीक घरानाको कब्जामा लघु बीमा, कर्मचारीको नाममा कम्पनी"
110,"
मोटर बीमा गर्नेहरु बढेसँगै कुल बीमाशुल्क ३१.२० प्रतिशतले बढ्यो"
111,"
एक महिनामा २१.८० प्रतिशतले बढ्यो सम्पत्ति बीमाशुल्क, सबैभन्दा बढी बागमती प्रदेशमा"
112,"
चार महिनामा निर्जीवन बीमा कम्पनीले गरे १३ अर्बबढि बीमाशुल्क संकलन"
113,"
नेको इन्स्योरेन्सको लाभांश प्रस्ताव, नगद र बोनस कति ?"
114,"
अजोड इन्स्योरेन्सको शेयर कारोबार फुकुवा, कहिलेदेखि कारोबार गर्न मिल्छ ?"
115,"
एनएलजी इन्स्योरेन्सका २३७ बीमितले कोरोना बीमाको दावी भुक्तानी पाउने"
116,"
कोरोना बीमाको रकम पाउनेहरुको नाम लिष्ट"
117,"
कोरोना बीमा भुक्तानीलाई लिएर नेपाल पुनर्बीमाका अध्यक्षले राजीनामा दिए"
118,"
सात वटा माइक्रो इन्स्योरेन्सले  लाइसेन्स पाए"
119,"
कोरोना बीमाको रकम मंगलबारबाट भुक्तानी हुने"
120,"
आइएमई जनरल इन्स्योरेन्सको लाभांश घोषणा, बोनस कति ?"
121,"
शिखर इन्स्योरेन्स १८औं पूरा गरी १९औं वर्षमा प्रवेश"
122,"
पुनर्बीमा कम्पनीले निर्णय फिर्ता नलिए खाता नै रोक्का गरिदिन्छौ : अध्यक्ष सिलवाल"
123,"
निर्जीवन बीमा कम्पनीहरुले गरे ५४ अर्ब रुपैयाँ भन्दाबढि लगानी"
124,"
प्रिमियर इन्स्योरेन्सको १५ प्रतिशत लाभांश प्रस्ताव"
125,"
जीवन बीमा कम्पनीले गरे ४ खर्ब ९७ अर्ब लगानी, नेपाल लाइफको सर्वाधिक"
126,"
दुई पुनर्बीमा कम्पनीले गरे २७ अर्ब ७७ करोड लगानी"
127,"
बीमा कम्पनीले अझै पाएनन् अनुदान रकम, चुनावको बहानामा धकेलियो भुक्तानी"
128,"
कृषि बीमा गर्ने बढेसँगै एक महिनामै ३९.५३ प्रतिशतले बढ्यो बीमाशुल्क"
129,"
निर्जीवन बीमा कम्पनीले गरे १० अर्ब भन्दाबढि बीमाशुल्क संकलन"
130,"
बीमा समिति औपचारिक रुपमा प्राधिकरणमा रुपान्तरित"
131,"
जनरल र सानिमा जनरल इन्स्योरेन्सलाई एकीकृत कारोबारको स्वीकृति"
132,"
अजोड इन्स्योरेन्सको विशेष साधारण सभा मंसिर ९ गते"
133,"
संस्थागत रुपमा बीमा गरेका र राष्ट्रसेवक कर्मचारीले कोरोना बीमाको पैसा तत्काल नपाउने"
134,"
बैंक, बीमा र जलविद्युत क्षेत्रका १६ कम्पनीको लाभांश घोषणा"
135,"
मोटर बीमा गर्नेहरुको संख्या बढ्यो, एक महिनामै ९८ प्रतिशतले बीमाशुल्कमा वृद्धि"
136,"
नेपाल इन्स्योरेन्सले लाभांश प्रस्ताव गर्यो"
137,"
सानिमा जिआईसी इन्स्योरेन्स कम्पनीको नाममा एकीकृत कारोबार शुरु"
138,"
सम्पत्ति बीमा गर्ने बढेसँगै एक महिनामा ६६.०६ प्रतिशतले बढ्यो बीमाशुल्क"
139,"
कृषि तथा पशुपन्छी बीमा गर्ने ह्वात्तै बढे, एक महिनामै ३९ करोड  संकलन"
140,"
कृषि बीमाको कारण पिरोलिएका बीमा कम्पनीले बल्ल फेर्ने भए सन्तोषको सास"
141,"
निर्जीवन बीमा कम्पनीले गरे ३ अर्ब भन्दाबढि बीमा शुल्क संकलन"
142,"
सरकारले कम रकम दिँदा बीमा समिति सकसमा, समिति र कम्पनीबीच द्धन्द्ध बढ्ने संकेत"
143,"
'बीमा कम्पनीले बैंकमा पैसा राख्दा बैंक नै जोखिममा पर्ने अवस्था सिर्जना भयो'"
144,"
हिमालयन रिइन्स्योरेन्सको दोस्रो वार्षिक साधारण सभा कात्तिक ४ गते"
145,"
बाख्रा बीमालेखमा संशोधन, ३५ दिन भित्र दावी भुक्तानी गर्नुपर्ने"
146,"
विद्युतीय सवारी साधनको बीमा गर्दैहुनुहुन्छ ? कभरेजमा यी विषय छुट्ला ?"
147,"
बीमा समितिलाई अब प्राधिकरण बनाउने बाटो खुल्यो"
148,"
नेपाल पुनर्बीमा कम्पनीको साधारण सभा आज, लाभांश प्रस्ताव पारित हुदैं"
149,"
लुम्बिनी जनरल इन्स्योरेन्सका बीमितले नारायणी समुदायिक अस्पतालमा छुट पाउने"
150,"
एक वर्षमै ५२.४३ प्रतिशतले बढ्यो कुल जीवन बीमालेख"
151,"
बीमा कम्पनी विरुद्ध उजुरी बढ्दै, एक वर्षमै ३३८ वटा मुद्धा दायर"
152,"
कृषि तथा पशुपन्छी बीमाबाट २१ करोड भन्दाबढी बीमाशुल्क संकलन"
153,"
निर्जीवन बीमा कम्पनीले संकलन गरे ४ अर्ब भन्दाबढि बीमाशुल्क"
154,"
‘बीमा कम्पनीहरुको हालको पूँजीले जोखिम धान्न नसक्ने भएकाले पूँजी वृद्धि गरिएको हो’"
155,"
७ लघुबीमा कम्पनी खुल्दै, बीमा समितिद्वारा प्रस्ताव आह्वान"
156,"
'राष्ट्रिय बीमा नीति दुई चार दिनमा पारित हुन्छ'"
157,"
गत आवमा कुन जीवन बीमा कम्पनीले कति कमाए नाफा ?"
158,"
कृषि तथा पशुपन्छी बीमाबाट २७ करोड भन्दाबढी शुल्क संकलन"
159,"
नेपाल इन्स्योरेन्सले ३२ करोड ८९ लाख कमायो"
160,"
कृषि बीमा अन्तर्गतको सरकारले दिने रकम एक हप्ताभित्रै भुक्तानी हुने"
161,"
निर्जीवन बीमा कम्पनीहरुले आर्जन गरे ३९ अर्ब १६ करोड बीमाशुल्क"
162,"
बीमा समितिले दियो १० पुनर्बीमा ब्रोकर कम्पनीलाई लाईसेन्स"
163,"
हिमालयन एभरेष्ट इन्स्योरेन्सको २ करोड २३ लाखभन्दा बढी कित्ता शेयर सूचीकृत"
164,"
‘६ अर्बभन्दा बढी कोरोना बीमाको रकम किन रोकेको ?’"
165,"
निर्जीवन बीमा कम्पनीका प्रमुख कार्यकारी अधिकृतहरूसँग अन्तरक्रिया"
166,"
सरकारी कम्पनी हो भन्दैमा कानुन मान्दिन भन्ने छुट छैनः अध्यक्ष सिलवाल"
167,"
अजोड इन्स्योरेन्सको कृषि तथा पशुपन्छी अभिकर्ता तालिम सम्पन्न"
168,"
नेको इन्सुरेन्सले निर्जीवन बीमा अभिकर्ता तालिम दिने"
169,"
जनरल इन्स्योरेन्स र गण्डकी मेडिकल कलेज बिच नगद रहित सेवा प्रदान गर्ने सम्झौता"
170,"
पुँजीवृद्धि गर्न १९ बीमा कम्पनीले रोजे मर्जर, अन्यले के गर्लान ?"
171,"
चुक्ता पुँजी नपुर्याएका बीमा कम्पनीलाई समिति अध्यक्ष सिलवालको सुझाव"
172,"
हिमालयन जनरल र एभरेष्ट इन्स्योरेन्स मर्जपछि बन्यो हिमालयन एभरेष्ट इन्स्योरेन्स"
173,"
प्रभु र अजोड इन्स्योरेन्स मर्जका लागि सम्झौता, अध्यक्ष आजाद र सिइओ सञ्चित हुने"
174,"
प्रभु र अजोड इन्स्योरेन्स पनि मर्ज हुने तयारीमा"
175,"
साउनदेखि जडीबुटी बीमा लागू हुने"
176,"
सानिमा र जनरल इन्स्योरेन्सको मर्जर सम्झौता विरुद्ध असन्तुष्ट पक्ष अदालत जाँदै"
177,"
बीमा पोलिसी सरेन्डर गर्ने ४५ प्रतिशतभन्दा बढिले बढे"
178,"
लुम्बिनी जनरल इन्स्योरेन्सको साधारण सभा सम्पन्न"
179,"
आज लुम्बिनी जनरल इन्स्योरेन्सको साधारण सभा, १० प्रतिशत लाभांश प्रस्ताव"
180,"
सिद्धार्थ इन्स्योरेन्स र प्रिमियर इन्स्योरेन्स एक आपसमा मर्ज हुने"
181,"
हिमालयन जनरल इन्स्योरेन्स र एभरेष्ट इन्स्योरेन्सले साउन १ गतेदेखि एकिकृत कारोबार सुरु गर्ने"
182,"
४९.१८ प्रतिशतले बढ्यो कुल जीवन बीमा लेखको संख्या"
183,"
कृषि बीमा गर्ने बढेपनि बीमा शुल्क आर्जन १३ प्रतिशतले घट्यो"
184,"
अब जीवन बीमा कम्पनीले सम्पुर्ण पुनर्बीमा स्वदेशमै गर्न पाउने"
185,"
निर्जीवन बीमा कम्पनीहरुले ३४ अर्ब १५ करोड बीमाशुल्क आर्जन गरे"
186,"
लघुबीमा कार्यविधि अझै बनेन, कम्पनी खोल्न करिब तीन दर्जन फाइल समितिमा"
187,"
लुम्बिनी जनरल इन्स्योरेन्सको १० प्रतिशत लाभांश सुरक्षित गर्ने आज अन्तिम दिन"
188,"
नेपाल पुनर्बीमा कम्पनीले घोषणा गर्यो लाभांश"
189,"
आईपीओ निष्कासनका लागि २५ कम्पनी पाइपलाइनमा, सबैभन्दा बढी हाइड्रोपावर"
190,"
जनरल इन्स्योरेन्सको चौथो साधारण सभा सम्पन्न"
191,"
नेपाल इन्स्योरेन्सको साधारण सभा आज , ११.५८ प्रतिशत लाभांश प्रस्ताव पारित हुदैं"
192,"
मर्जर तथा प्राप्तीको प्रस्ताव गर्दै सानिमा जनरल इन्स्योरेन्सले आव्हान गर्यो विशेष साधारण सभा"
193,"
पत्रकारको दुर्घटना बीमा गर्न महासङ्घ अग्रसर हुनुपर्ने महानिर्देशकको आग्रह"
194,"
अजोड इन्स्योरेन्स कम्पनी र बटेश्वर गाउँपालिका कार्यालयबीच सम्झौता"
195,"
यूनाइटेड इन्स्योरेन्सको साधारण सभा सम्पन्न,मर्जर सम्बन्धी सम्पुर्ण अख्तियारी संचालक समितिलाई"
196,"
यूनाइटेड इन्स्योरेन्समा नयाँ सञ्चालक चयन, मर्ज गर्ने सम्पूर्ण अधिकार सञ्चालक समितिले पायो"
197,"
कृषि तथा पशुपंक्षी बीमा गर्ने बढे पनि बीमा शुल्क भने घट्यो"
198,"
नेपाल इन्स्योरेन्सको शेयरमूल्य संमायोजन"
199,"
निर्जीवन बीमा कम्पनीद्वारा वैशाखमा २ अर्ब ५२ करोड कुल बीमाशुल्क आर्जन"
200,"
अजोड इन्स्योरेन्समा कुमार बहादुर खत्रीको दोस्रो कार्यकाल थप"
201,"
नेपाल लाइफको बीमा जनचेतना कार्यक्रम ‘अमूल्य जीवन’ प्यूठानबाट सुरु"
202,"
खाद्यान्न बालीको बीमा गरिने"
203,"
हकप्रद निष्कासनको प्रस्तावसहित जनरल इन्स्योरेन्सले बोलायो साधारण सभा"
204,"
मेटलाइफले सुरु गर्यो डिजिटल रेक्रुटमेन्ट सोलुसन"
205,"
जनरल इन्स्योरेन्सले ३० प्रतिशत हकप्रद शेयर जारी गर्ने"
206,"
अस्पताल सञ्चालन गर्न नेशनल लाईफ र एक एक पाईलाबीच सम्झौता"
207,"
नेप्सेमा सूचीकृत १८ निर्जीवन बीमा कम्पनीको नाफा ३ अर्बभन्दा बढी, कुन कम्पनीको कति ?"
208,"
एनएलजी इन्स्योरेन्सद्वारा १ अर्ब ७७ करोडभन्दा बढी बीमाशुल्क आर्जन"
209,"
युनाइटेड इन्स्योरेन्सको नाफा १० करोडभन्दा बढी"
210,"
लाभांश प्रस्ताव विनै यूनाइटेड इन्स्योरेन्सले आव्हान ग¥यो साधारण सभा"
211,"
कृषि तथा पशुपन्छी बीमाबाट एक अर्बभन्दा बढी बीमाशुल्क आर्जन"
212,"
चार्टर्ड एकाउन्टेन्टस् संघको सुझावः बोन्ड जारी गरेर कोरोना बिमाको दाबी भुक्तानी गर्नू"
213,"
पुँजी वृद्धिका लागि महालक्ष्मी लाईफले गर्यो मर्जर कमिटी  गठन"
214,"
दुई बीमा कम्पनी मर्जमा जाने भए"
215,"
बीमा कम्पनीहरुले एक वर्षभित्र पूँजीवृद्धि गर्नैपर्छ, नसक्नेले मर्जमा जानुपर्योः अध्यक्ष सिलवाल"
216,"
हावाहुरीबाट केरा बालीमा साढे पाँच करोडको क्षति, बीमा कम्पनीका कारण कृषकलाई सास्ती"
217,"
मोटर बीमा बापत उठ्ने रकम करिब ५ प्रतिशत घट्यो"
218,"
अर्थतन्त्रको हितका लागि बीमा कम्पनीहरुले चुक्ता पुँजी बढाउनै पर्छः अध्यक्ष सिलवाल"
219,"
चैतमा निर्जीवन बीमा कम्पनीको कुल बीमा शुल्क आर्जन साढे ३ अर्ब"
220,"
९ महिनामा निर्जीवन बीमा कम्पनीको बीमा शुल्क आर्जन २८ अर्बभन्दा बढी, कुन कम्पनीको कति ?"
221,"
इञ्जिनियरिङ्ग बीमा दरसम्बन्धी निर्देशिका स्थगन"
222,"
२४ बीमा कम्पनीले बुझाए पुँजी वृद्धिको योजना, बाँकीलाई कारवाही गर्ने तयारी"
223,"
एभरेष्ट इन्स्योरेन्सको ६.३२ प्रतिशत लाभांश सुरक्षित गर्ने आज अन्तिम दिन"
224,"
शिखर इन्स्योरेन्सको ७७ हजारभन्दा बढी कित्ता अवितरित हकप्रद शेयर वैशाख १९ गतेदेखि लिलामीमा आउने"
225,"
आइएमई जनरल इन्स्योरेन्सको लाभांश पारित, चुक्तापुँजी २ अर्ब ५० करोड पुर्याउने"
226,"
रामेछापमा पहिलो पटक जुनार बीमा"
227,"
सगरमाथा इन्स्योरेन्सले गर्यो लाभांश दिने प्रस्ताव"
228,"
प्रभु इन्स्योरेन्सको लाभांश पारित"
229,"
‘बीमा कम्पनीले स्वः स्फूर्तरूपमा मर्जरमा गएर भए पनि चुक्ता पूँजी वृद्धि गर्न पर्छ’"
230,"
सिद्धार्थ इन्स्योरेन्सको साधारण सभा आज, १५.७९ प्रतिशत लाभांश पारित हुदैं"
231,"
अजोड इन्स्योरेन्सको कृषि तथा पशुपन्छि बीमा अभिकर्ता तालिम सम्पन्न"
232,"
चौधरी समूहले एक वर्ष पुग्न लाग्दा पनि बीमा दावी गरेन"
233,"
बीमा कम्पनीहरूको बीमा शुल्क आर्जन १४ अर्बभन्दा बढी, शिखरलाई पछि पार्याे राष्ट्रिय बीमा कम्पनीले"
234,"
बीमा कम्पनीको संस्थागत सुशासन निर्देशिक संशोधन, सञ्चालकको कार्यकालमा कडाइ"
235,"
निर्जीवन बीमा कम्पनीको कुल बीमा शुल्क आर्जन २५ अर्बभन्दा बढी, कुन कम्पनीको कति ?"
236,"
“पशु मर्यो, बाली बिग्रियो बीमा रकम पाइएन भन्ने गुनासा आउनु भएन”"
237,"
‘बीमा कम्पनीहरुको पूँजीवृद्धिका लागि फोर्स मर्ज उचित हुदैन’"
238,"
पूँजीवृद्धिको नीति लागु भएसँगै कुन बीमा कम्पनीले कति पूँजी थप गर्नुपर्छ ?"
239,"
बीमा कम्पनीहरुको चुक्तापुँजी वृद्धि, अब कति हुने भयो ?"
240,"
कोरोना बीमाको रकम भुक्तानी गर्ने तयारी"
241,"
भक्तपुर उद्योग वाणिज्य संघ र अजोड इन्स्योरेन्स बीच बीमा सेवा सम्झौता सम्पन्न"
242,"
विदेशी बीमा कम्पनीका शाखाले कसरी पुँजी पुर्याउने योजना बनाउँदैछन् ?"
243,"
कृषि बीमा गराउनेको आकर्षण देखिएन, एक महिनामै १७ प्रतिशतले घट्यो कृषि बीमा शुल्क"
244,"
कृषि बीमा गराउने बढेसँगै लघु बीमा गराउने पनि बढे"
245,"
आइजिआईले ल्यायो हेल्थपल्स बीमालेख, हेर्‍यौ कस्ता छन् विशेषता"
246,"
आइएमई जनरल इन्स्योरेन्सद्धारा थप दुई वटा सेवा शुभारम्भ"
247,"
लुम्बिनी जनरल इन्स्योरेन्सको १ लाख २२ हजारभन्दा बढी कित्ता संस्थापक शेयर विक्रीमा"
248,"
आइएमई जनरल इन्स्योरेन्स कम्पनीले ४० प्रतिशत हकप्रद शेयर निष्कासन गर्दै"
249,"
निर्जीवन बीमा कम्पनीले बीमितबाट उठाए २१ अर्बभन्दा बढी"
